hoja,estado,descripcion,criticidad
Resumen,visible,state=visible; used_range=A1:K23; rows=23; cols=11; tables=0; merged_ranges=9,MEDIA
IVA Dptos,visible,state=visible; used_range=A1:AE52; rows=52; cols=31; tables=0; merged_ranges=2,MEDIA
Hoja1,visible,state=visible; used_range=A1:P18; rows=18; cols=16; tables=0; merged_ranges=0,MEDIA
Arriendo,visible,state=visible; used_range=A1:T31; rows=31; cols=20; tables=0; merged_ranges=0,MEDIA
Flujo mensual,visible,state=visible; used_range=A1:S37; rows=37; cols=19; tables=0; merged_ranges=0,ALTA
Flujo 5 años C12,visible,state=visible; used_range=A1:R47; rows=47; cols=18; tables=0; merged_ranges=0,ALTA
Flujo 5 años C12 (2),visible,state=visible; used_range=A1:AA49; rows=49; cols=27; tables=0; merged_ranges=2,ALTA
Crédito Comercial 12A,visible,state=visible; used_range=A1:M368; rows=368; cols=13; tables=0; merged_ranges=0,MEDIA
Crédito C12,visible,state=visible; used_range=A1:BL9; rows=9; cols=64; tables=0; merged_ranges=0,MEDIA
Flujo 5 años C20,visible,state=visible; used_range=A1:R47; rows=47; cols=18; tables=0; merged_ranges=0,ALTA
Crédito Comercial 20A,visible,state=visible; used_range=A1:M368; rows=368; cols=13; tables=0; merged_ranges=0,MEDIA
Crédito C20,visible,state=visible; used_range=A1:BL9; rows=9; cols=64; tables=0; merged_ranges=0,MEDIA
